Municipios;Periodo;Total;Nombre_Municipio
01011 Baños de Ebro/Mañueta;2024;30.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2023;30.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2022;35.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2021;36.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2020;38.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2019;38.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2018;35.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2017;37.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2016;39.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2015;38.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2014;44.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2013;48.0;Baños de Ebro/Mañueta
01011 Baños de Ebro/Mañueta;2012;49.0;Baños de Ebro/Mañueta
01013 Barrundia;2024;64.0;Barrundia
01013 Barrundia;2023;66.0;Barrundia
01013 Barrundia;2022;67.0;Barrundia
01013 Barrundia;2021;66.0;Barrundia
01013 Barrundia;2020;59.0;Barrundia
01013 Barrundia;2019;61.0;Barrundia
01013 Barrundia;2018;67.0;Barrundia
01013 Barrundia;2017;63.0;Barrundia
01013 Barrundia;2016;66.0;Barrundia
01013 Barrundia;2015;62.0;Barrundia
01013 Barrundia;2014;54.0;Barrundia
01013 Barrundia;2013;56.0;Barrundia
01013 Barrundia;2012;57.0;Barrundia
01014 Berantevilla;2024;41.0;Berantevilla
01014 Berantevilla;2023;38.0;Berantevilla
01014 Berantevilla;2022;42.0;Berantevilla
01014 Berantevilla;2021;42.0;Berantevilla
01014 Berantevilla;2020;45.0;Berantevilla
01014 Berantevilla;2019;45.0;Berantevilla
01014 Berantevilla;2018;42.0;Berantevilla
01014 Berantevilla;2017;40.0;Berantevilla
01014 Berantevilla;2016;39.0;Berantevilla
01014 Berantevilla;2015;36.0;Berantevilla
01014 Berantevilla;2014;39.0;Berantevilla
01014 Berantevilla;2013;38.0;Berantevilla
01014 Berantevilla;2012;45.0;Berantevilla
01016 Bernedo;2024;33.0;Bernedo
01016 Bernedo;2023;31.0;Bernedo
01016 Bernedo;2022;32.0;Bernedo
01016 Bernedo;2021;27.0;Bernedo
01016 Bernedo;2020;26.0;Bernedo
01016 Bernedo;2019;25.0;Bernedo
01016 Bernedo;2018;26.0;Bernedo
01016 Bernedo;2017;28.0;Bernedo
01016 Bernedo;2016;33.0;Bernedo
01016 Bernedo;2015;33.0;Bernedo
01016 Bernedo;2014;31.0;Bernedo
01016 Bernedo;2013;31.0;Bernedo
01016 Bernedo;2012;33.0;Bernedo
01017 Campezo/Kanpezu;2024;62.0;Campezo/Kanpezu
01017 Campezo/Kanpezu;2023;56.0;Campezo/Kanpezu
01017 Campezo/Kanpezu;2022;60.0;Campezo/Kanpezu
01017 Campezo/Kanpezu;2021;61.0;Campezo/Kanpezu
01017 Campezo/Kanpezu;2020;56.0;Campezo/Kanpezu
01017 Campezo/Kanpezu;2019;61.0;Campezo/Kanpezu
01017 Campezo/Kanpezu;2018;63.0;Campezo/Kanpezu
01017 Campezo/Kanpezu;2017;66.0;Campezo/Kanpezu
01017 Campezo/Kanpezu;2016;67.0;Campezo/Kanpezu
01017 Campezo/Kanpezu;2015;64.0;Campezo/Kanpezu
01017 Campezo/Kanpezu;2014;64.0;Campezo/Kanpezu
01017 Campezo/Kanpezu;2013;66.0;Campezo/Kanpezu
01017 Campezo/Kanpezu;2012;71.0;Campezo/Kanpezu
01018 Zigoitia;2024;133.0;Zigoitia
01018 Zigoitia;2023;125.0;Zigoitia
01018 Zigoitia;2022;134.0;Zigoitia
01018 Zigoitia;2021;129.0;Zigoitia
01018 Zigoitia;2020;127.0;Zigoitia
01018 Zigoitia;2019;116.0;Zigoitia
