Municipios;Periodo;Total
02020 Carcelén;2022;11.046,0
02020 Carcelén;2021;10.038,0
02020 Carcelén;2020;9.953,0
02020 Carcelén;2019;9.735,0
02020 Carcelén;2018;9.690,0
02020 Carcelén;2017;8.792,0
02020 Carcelén;2016;8.431,0
02020 Carcelén;2015;8.408,0
02021 Casas de Juan Núñez;2022;10.927,0
02021 Casas de Juan Núñez;2021;10.377,0
02021 Casas de Juan Núñez;2020;10.041,0
02021 Casas de Juan Núñez;2019;9.822,0
02021 Casas de Juan Núñez;2018;9.207,0
02021 Casas de Juan Núñez;2017;8.690,0
02021 Casas de Juan Núñez;2016;8.257,0
02021 Casas de Juan Núñez;2015;7.998,0
02022 Casas de Lázaro;2022;14.018,0
02022 Casas de Lázaro;2021;12.592,0
02022 Casas de Lázaro;2020;11.629,0
02022 Casas de Lázaro;2019;11.548,0
02022 Casas de Lázaro;2018;11.228,0
02022 Casas de Lázaro;2017;10.865,0
02022 Casas de Lázaro;2016;10.236,0
02022 Casas de Lázaro;2015;9.692,0
02023 Casas de Ves;2022;12.006,0
02023 Casas de Ves;2021;11.620,0
02023 Casas de Ves;2020;10.926,0
02023 Casas de Ves;2019;10.731,0
02023 Casas de Ves;2018;10.519,0
02023 Casas de Ves;2017;9.022,0
02023 Casas de Ves;2016;8.690,0
02023 Casas de Ves;2015;8.540,0
02024 Casas-Ibáñez;2022;11.006,0
02024 Casas-Ibáñez;2021;10.518,0
02024 Casas-Ibáñez;2020;9.829,0
02024 Casas-Ibáñez;2019;9.843,0
02024 Casas-Ibáñez;2018;9.351,0
02024 Casas-Ibáñez;2017;8.701,0
02024 Casas-Ibáñez;2016;8.425,0
02024 Casas-Ibáñez;2015;8.271,0
02025 Caudete;2022;10.690,0
02025 Caudete;2021;10.126,0
02025 Caudete;2020;9.763,0
02025 Caudete;2019;9.553,0
02025 Caudete;2018;9.123,0
02025 Caudete;2017;8.603,0
02025 Caudete;2016;8.285,0
02025 Caudete;2015;7.924,0
02026 Cenizate;2022;9.522,0
02026 Cenizate;2021;8.895,0
02026 Cenizate;2020;8.296,0
02026 Cenizate;2019;8.235,0
02026 Cenizate;2018;7.373,0
02026 Cenizate;2017;6.696,0
02026 Cenizate;2016;6.471,0
02026 Cenizate;2015;6.400,0
02027 Corral-Rubio;2022;12.623,0
02027 Corral-Rubio;2021;11.785,0
02027 Corral-Rubio;2020;11.059,0
02027 Corral-Rubio;2019;10.946,0
02027 Corral-Rubio;2018;10.492,0
02027 Corral-Rubio;2017;9.995,0
02027 Corral-Rubio;2016;10.028,0
02027 Corral-Rubio;2015;9.645,0
02028 Cotillas;2022;10.900,0
02028 Cotillas;2021;10.430,0
02028 Cotillas;2020;9.726,0
02028 Cotillas;2019;9.825,0
02028 Cotillas;2018;8.746,0
02028 Cotillas;2017;8.485,0
02028 Cotillas;2016;8.231,0
02028 Cotillas;2015;8.023,0
02029 Chinchilla de Monte-Aragón;2022;12.219,0
02029 Chinchilla de Monte-Aragón;2021;11.896,0
02029 Chinchilla de Monte-Aragón;2020;11.074,0
02029 Chinchilla de Monte-Aragón;2019;10.752,0
02029 Chinchilla de Monte-Aragón;2018;10.205,0
02029 Chinchilla de Monte-Aragón;2017;9.804,0
02029 Chinchilla de Monte-Aragón;2016;9.461,0
02029 Chinchilla de Monte-Aragón;2015;9.006,0
02030 Elche de la Sierra;2022;10.996,0
02030 Elche de la Sierra;2021;10.149,0
02030 Elche de la Sierra;2020;9.772,0
02030 Elche de la Sierra;2019;9.487,0
02030 Elche de la Sierra;2018;8.797,0
02030 Elche de la Sierra;2017;8.447,0
02030 Elche de la Sierra;2016;8.120,0
02030 Elche de la Sierra;2015;7.915,0
02031 Férez;2022;11.015,0
02031 Férez;2021;10.314,0
02031 Férez;2020;9.592,0
02031 Férez;2019;9.419,0
02031 Férez;2018;9.300,0
02031 Férez;2017;8.289,0
02031 Férez;2016;8.049,0
02031 Férez;2015;7.529,0
02032 Fuensanta;2022;11.990,0
02032 Fuensanta;2021;11.554,0
02032 Fuensanta;2020;10.834,0
02032 Fuensanta;2019;10.309,0
02032 Fuensanta;2018;10.128,0
02032 Fuensanta;2017;9.353,0
02032 Fuensanta;2016;8.968,0
02032 Fuensanta;2015;8.558,0
02033 Fuente-Álamo;2022;10.307,0
02033 Fuente-Álamo;2021;9.789,0
02033 Fuente-Álamo;2020;9.246,0
02033 Fuente-Álamo;2019;8.774,0
02033 Fuente-Álamo;2018;8.853,0
02033 Fuente-Álamo;2017;7.871,0
02033 Fuente-Álamo;2016;7.423,0
02033 Fuente-Álamo;2015;6.937,0
02034 Fuentealbilla;2022;11.037,0
02034 Fuentealbilla;2021;10.497,0
02034 Fuentealbilla;2020;9.697,0
02034 Fuentealbilla;2019;9.664,0
02034 Fuentealbilla;2018;9.068,0
02034 Fuentealbilla;2017;8.291,0
02034 Fuentealbilla;2016;7.793,0
02034 Fuentealbilla;2015;7.686,0
02035 Gineta, La;2022;11.690,0
02035 Gineta, La;2021;10.957,0
02035 Gineta, La;2020;10.260,0
02035 Gineta, La;2019;10.055,0
02035 Gineta, La;2018;9.785,0
02035 Gineta, La;2017;9.355,0
02035 Gineta, La;2016;8.894,0
02035 Gineta, La;2015;8.834,0
02036 Golosalvo;2022;.
02036 Golosalvo;2021;12.033,0
02036 Golosalvo;2020;11.664,0
02036 Golosalvo;2019;.
02036 Golosalvo;2018;9.582,0
02036 Golosalvo;2017;8.116,0
02036 Golosalvo;2016;8.139,0
02036 Golosalvo;2015;7.912,0
02037 Hellín;2022;10.320,0
02037 Hellín;2021;9.742,0
02037 Hellín;2020;9.296,0
02037 Hellín;2019;9.081,0
02037 Hellín;2018;8.603,0
02037 Hellín;2017;8.250,0
02037 Hellín;2016;7.901,0
02037 Hellín;2015;7.627,0
02038 Herrera, La;2022;12.097,0
02038 Herrera, La;2021;11.217,0
02038 Herrera, La;2020;10.670,0
02038 Herrera, La;2019;10.402,0
02038 Herrera, La;2018;9.968,0
02038 Herrera, La;2017;9.289,0
02038 Herrera, La;2016;9.245,0
02038 Herrera, La;2015;9.475,0
02039 Higueruela;2022;12.301,0
02039 Higueruela;2021;11.299,0
02039 Higueruela;2020;10.617,0
02039 Higueruela;2019;10.320,0
02039 Higueruela;2018;9.833,0
02039 Higueruela;2017;9.017,0
02039 Higueruela;2016;9.100,0
02039 Higueruela;2015;8.715,0
02040 Hoya-Gonzalo;2022;12.736,0
02040 Hoya-Gonzalo;2021;12.727,0
02040 Hoya-Gonzalo;2020;11.915,0
02040 Hoya-Gonzalo;2019;11.405,0
02040 Hoya-Gonzalo;2018;10.869,0
02040 Hoya-Gonzalo;2017;10.200,0
02040 Hoya-Gonzalo;2016;9.869,0
02040 Hoya-Gonzalo;2015;9.527,0
02041 Jorquera;2022;11.642,0
02041 Jorquera;2021;10.986,0
02041 Jorquera;2020;9.357,0
02041 Jorquera;2019;9.941,0
02041 Jorquera;2018;8.886,0
02041 Jorquera;2017;8.291,0
02041 Jorquera;2016;8.324,0
02041 Jorquera;2015;8.669,0
02042 Letur;2022;10.236,0
02042 Letur;2021;10.867,0
02042 Letur;2020;10.379,0
02042 Letur;2019;9.901,0
02042 Letur;2018;9.102,0
02042 Letur;2017;8.441,0
02042 Letur;2016;8.309,0
02042 Letur;2015;8.210,0
02043 Lezuza;2022;11.202,0
02043 Lezuza;2021;10.656,0
02043 Lezuza;2020;10.087,0
02043 Lezuza;2019;9.855,0
02043 Lezuza;2018;9.048,0
02043 Lezuza;2017;8.467,0
02043 Lezuza;2016;8.090,0
02043 Lezuza;2015;7.914,0
02044 Liétor;2022;11.126,0
02044 Liétor;2021;10.196,0
02044 Liétor;2020;9.899,0
02044 Liétor;2019;9.297,0
02044 Liétor;2018;8.936,0
02044 Liétor;2017;8.432,0
02044 Liétor;2016;7.994,0
02044 Liétor;2015;8.048,0
02045 Madrigueras;2022;11.717,0
02045 Madrigueras;2021;10.997,0
02045 Madrigueras;2020;10.540,0
02045 Madrigueras;2019;10.445,0
02045 Madrigueras;2018;9.813,0
02045 Madrigueras;2017;9.407,0
02045 Madrigueras;2016;9.113,0
02045 Madrigueras;2015;8.803,0
02046 Mahora;2022;10.853,0
02046 Mahora;2021;9.985,0
02046 Mahora;2020;9.938,0
02046 Mahora;2019;9.773,0
02046 Mahora;2018;9.315,0
02046 Mahora;2017;8.710,0
02046 Mahora;2016;8.337,0
02046 Mahora;2015;8.171,0
02047 Masegoso;2022;16.502,0
02047 Masegoso;2021;14.845,0
02047 Masegoso;2020;16.789,0
02047 Masegoso;2019;14.711,0
02047 Masegoso;2018;13.508,0
02047 Masegoso;2017;12.737,0
02047 Masegoso;2016;13.238,0
02047 Masegoso;2015;12.423,0
02048 Minaya;2022;10.828,0
02048 Minaya;2021;10.180,0
02048 Minaya;2020;9.690,0
02048 Minaya;2019;9.354,0
02048 Minaya;2018;8.762,0
02048 Minaya;2017;8.362,0
02048 Minaya;2016;8.013,0
02048 Minaya;2015;8.233,0
02049 Molinicos;2022;11.933,0
02049 Molinicos;2021;11.321,0
02049 Molinicos;2020;10.484,0
02049 Molinicos;2019;10.094,0
02049 Molinicos;2018;9.640,0
02049 Molinicos;2017;9.058,0
02049 Molinicos;2016;8.813,0
02049 Molinicos;2015;8.240,0
02050 Montalvos;2022;.
02050 Montalvos;2021;12.033,0
02050 Montalvos;2020;11.664,0
02050 Montalvos;2019;.
02050 Montalvos;2018;.
02050 Montalvos;2017;.
02050 Montalvos;2016;12.555,0
02050 Montalvos;2015;13.401,0
02051 Montealegre del Castillo;2022;10.692,0
02051 Montealegre del Castillo;2021;10.283,0
02051 Montealegre del Castillo;2020;9.709,0
02051 Montealegre del Castillo;2019;9.484,0
02051 Montealegre del Castillo;2018;9.770,0
02051 Montealegre del Castillo;2017;8.826,0
02051 Montealegre del Castillo;2016;8.513,0
02051 Montealegre del Castillo;2015;8.144,0
02052 Motilleja;2022;11.457,0
02052 Motilleja;2021;9.450,0
02052 Motilleja;2020;10.277,0
02052 Motilleja;2019;10.152,0
02052 Motilleja;2018;9.800,0
02052 Motilleja;2017;9.192,0
02052 Motilleja;2016;8.850,0
02052 Motilleja;2015;8.395,0
02053 Munera;2022;10.049,0
02053 Munera;2021;9.677,0
02053 Munera;2020;9.212,0
02053 Munera;2019;8.918,0
02053 Munera;2018;8.368,0
02053 Munera;2017;7.908,0
02053 Munera;2016;7.454,0
02053 Munera;2015;7.128,0
02054 Navas de Jorquera;2022;10.728,0
02054 Navas de Jorquera;2021;10.519,0
02054 Navas de Jorquera;2020;10.051,0
02054 Navas de Jorquera;2019;9.916,0
02054 Navas de Jorquera;2018;8.756,0
02054 Navas de Jorquera;2017;8.340,0
02054 Navas de Jorquera;2016;8.193,0
02054 Navas de Jorquera;2015;7.904,0
02055 Nerpio;2022;10.595,0
02055 Nerpio;2021;9.240,0
02055 Nerpio;2020;9.591,0
02055 Nerpio;2019;8.800,0
02055 Nerpio;2018;8.253,0
02055 Nerpio;2017;7.761,0
02055 Nerpio;2016;7.224,0
02055 Nerpio;2015;7.107,0
02056 Ontur;2022;10.103,0
02056 Ontur;2021;9.563,0
02056 Ontur;2020;9.102,0
02056 Ontur;2019;9.006,0
02056 Ontur;2018;8.836,0
02056 Ontur;2017;8.032,0
02056 Ontur;2016;7.713,0
02056 Ontur;2015;7.356,0
02057 Ossa de Montiel;2022;11.180,0
02057 Ossa de Montiel;2021;10.487,0
02057 Ossa de Montiel;2020;9.773,0
02057 Ossa de Montiel;2019;9.563,0
02057 Ossa de Montiel;2018;8.789,0
02057 Ossa de Montiel;2017;8.269,0
02057 Ossa de Montiel;2016;7.883,0
02057 Ossa de Montiel;2015;7.460,0
02058 Paterna del Madera;2022;11.467,0
02058 Paterna del Madera;2021;10.896,0
02058 Paterna del Madera;2020;10.249,0
02058 Paterna del Madera;2019;10.353,0
02058 Paterna del Madera;2018;9.565,0
02058 Paterna del Madera;2017;8.997,0
02058 Paterna del Madera;2016;8.783,0
02058 Paterna del Madera;2015;8.353,0
02059 Peñascosa;2022;12.556,0
02059 Peñascosa;2021;12.255,0
02059 Peñascosa;2020;11.810,0
02059 Peñascosa;2019;11.529,0
02059 Peñascosa;2018;10.946,0
02059 Peñascosa;2017;10.162,0
02059 Peñascosa;2016;10.233,0
02059 Peñascosa;2015;9.772,0
02060 Peñas de San Pedro;2022;15.073,0
02060 Peñas de San Pedro;2021;13.905,0
02060 Peñas de San Pedro;2020;13.651,0
02060 Peñas de San Pedro;2019;13.202,0
02060 Peñas de San Pedro;2018;12.611,0
02060 Peñas de San Pedro;2017;11.413,0
02060 Peñas de San Pedro;2016;11.228,0
02060 Peñas de San Pedro;2015;11.068,0
02061 Pétrola;2022;12.098,0
02061 Pétrola;2021;11.666,0
02061 Pétrola;2020;11.233,0
02061 Pétrola;2019;10.408,0
02061 Pétrola;2018;10.298,0
02061 Pétrola;2017;9.487,0
02061 Pétrola;2016;9.090,0
02061 Pétrola;2015;8.522,0
02062 Povedilla;2022;10.930,0
02062 Povedilla;2021;10.592,0
02062 Povedilla;2020;10.219,0
02062 Povedilla;2019;9.908,0
02062 Povedilla;2018;9.504,0
02062 Povedilla;2017;9.312,0
02062 Povedilla;2016;8.717,0
02062 Povedilla;2015;8.283,0
02063 Pozohondo;2022;10.918,0
02063 Pozohondo;2021;10.312,0
02063 Pozohondo;2020;9.783,0
02063 Pozohondo;2019;9.759,0
02063 Pozohondo;2018;9.447,0
02063 Pozohondo;2017;8.798,0
02063 Pozohondo;2016;8.474,0
02063 Pozohondo;2015;8.169,0
02064 Pozo-Lorente;2022;13.743,0
02064 Pozo-Lorente;2021;12.458,0
02064 Pozo-Lorente;2020;11.778,0
02064 Pozo-Lorente;2019;11.029,0
02064 Pozo-Lorente;2018;10.566,0
02064 Pozo-Lorente;2017;9.964,0
02064 Pozo-Lorente;2016;9.564,0
02064 Pozo-Lorente;2015;9.780,0
02065 Pozuelo;2022;13.792,0
02065 Pozuelo;2021;12.479,0
02065 Pozuelo;2020;11.848,0
